,title,links,date_posted,company,location,salary,experience_level
0,Data Engineer (Data Migrations),https://findajob.dwp.gov.uk/details/16936404,2025-08-01,Get Staffed Online Recruitment Limited,"London, SW6 3JW","£65,000 to £78,000 per year",Entry
1,Data Engineer,https://findajob.dwp.gov.uk/details/16835459,2025-07-11,Pioneering People,M1,"£60,000 to £67,000 per year",Entry
2,Data Engineer,https://findajob.dwp.gov.uk/details/16925554,2025-07-31,Thames Water,"Reading, Home Counties, RG1 8DB","£70,000 per year",Entry
3,Data Engineer,https://findajob.dwp.gov.uk/details/16935786,2025-08-01,Vp plc,"Harrogate, HG3 1UD",,Entry
4,Data Engineer,https://findajob.dwp.gov.uk/details/16909250,2025-07-28,NHS Jobs,"Wrexham, Abergele or Bangor, LL13 7TD","£31,516.00 to £38,364.00 per year",Entry
5,Senior Data Engineer,https://findajob.dwp.gov.uk/details/16930197,2025-07-31,Reed Talent Solutions,"Bedford, MK42 9AB",,Senior
6,Lead Data Engineer,https://findajob.dwp.gov.uk/details/16853542,2025-07-30,SSE,"Reading, Berkshire, RG1 3JH","£58,100 to £87,100 per year",Lead
7,Senior Data Engineer,https://findajob.dwp.gov.uk/details/16850183,2025-07-15,Crown Prosecution Service,National,"£42,530 per year, pro rata",Senior
8,Data Engineer (Azure),https://findajob.dwp.gov.uk/details/16946926,2025-08-05,Pulse IT Recruitment Ltd,"Birmingham, West Midlands","£35,000 to £55,000 per year",Entry
9,Senior Data Engineer,https://findajob.dwp.gov.uk/details/16850413,2025-07-29,SSE,"Havant, Hampshire, PO9 1QH",,Senior
